"transaction_id","product_id","customer_id","transaction_date","online_order","order_status","brand","product_line","product_class","product_size","list_price","standard_cost"
5,78,787,"01.10.2017",true,Approved,Giant Bicycles,Standard,medium,large,"1765,3","709,48"
6,25,2339,"08.03.2017",true,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
12,61,2783,"05.01.2017",true,Approved,OHM Cycles,Standard,low,medium,"71,16","56,93"
17,79,2426,"03.04.2017",false,Approved,Norco Bicycles,Standard,medium,medium,"1555,58","818,01"
18,33,1842,"02.06.2017",false,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
19,54,2268,"06.04.2017",true,Approved,WeareA2B,Standard,medium,medium,"1292,84","13,44"
23,37,2001,"08.04.2017",true,Approved,OHM Cycles,Standard,low,medium,"1793,43","248,82"
31,88,2810,"05.09.2017",true,Approved,Norco Bicycles,Standard,medium,medium,"1198,46","381,10"
36,92,3356,"07.07.2017",false,Approved,WeareA2B,Standard,medium,small,"1415,01","1259,36"
37,14,1040,"09.01.2017",false,Approved,Solex,Standard,high,large,"1842,92","1105,75"
38,2,2916,"06.12.2017",false,Approved,Solex,Standard,medium,medium,"71,49","53,62"
41,44,2570,"08.05.2017",true,Approved,WeareA2B,Standard,medium,medium,"1769,64","108,76"
45,55,2787,"07.06.2017",true,Approved,Trek Bicycles,Road,medium,large,"1894,19","598,76"
47,35,475,"07.05.2017",true,Approved,Trek Bicycles,Standard,low,medium,"1057,51","154,40"
54,27,2549,"09.02.2017",true,Approved,Trek Bicycles,Standard,medium,medium,"499,53","388,72"
64,0,2000,"08.07.2017",false,Approved,Trek Bicycles,Standard,medium,medium,"499,53","388,72"
67,2,75,"03.07.2017",true,Approved,Solex,Standard,medium,medium,"71,49","53,62"
70,27,2192,"06.05.2017",true,Approved,Trek Bicycles,Standard,medium,medium,"499,53","388,72"
71,54,419,"03.01.2017",false,Approved,WeareA2B,Standard,medium,medium,"1292,84","13,44"
